index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
1126;Rio de Janeiro;0918059 ESCOLA MUNICIPAL HALFELD;false;false; true;false;false;true;false;true;false;true;true;0;33082952;Municipal;5,7
1127;Rio de Janeiro;0918003 ESCOLA MUNICIPAL IVA GOMES RIBEIRO; true;false; true;false;true;true;false;true;false;true;true;0;33082979;Municipal;7,1
1128;Rio de Janeiro;1026001 ESCOLA MUNICIPAL JONATAS SERRANO;false;false; true;false;true;true;false;true;false;false;false;0;33083029;Municipal;4,9
1129;Rio de Janeiro;0918060 ESCOLA MUNICIPAL JORGE DE LIMA; true;false;false;false;false;true;false;false;false;true;false;0;33083037;Municipal;5,7
1130;Rio de Janeiro;1026004 ESCOLA MUNICIPAL LEONCIO CORREIA; true;false;false;false;false;true;false;true;false;true;false;0;33083045;Municipal;5,7
1131;Rio de Janeiro;0918062 ESCOLA MUNICIPAL LUIZ EDMUNDO;false;false;false;false;true;false;false;true;false;true;false;0;33083053;Municipal;5,2
1132;Rio de Janeiro;0918005 ESCOLA MUNICIPAL LYCIO DE SOUZA CARVALHO; true;false; true;false;true;true;false;true;false;true;true;0;33083061;Municipal;5,7
1133;Rio de Janeiro;0918026 ESCOLA MUNICIPAL MAFALDA TEIXEIRA DE ALVARENGA; true; true; true;false;true;true;false;true;false;false;false;0;33083070;Municipal;5,8
1134;Rio de Janeiro;0918040 ESCOLA MUNICIPAL PROFESSORA MARITA DE VASCONCELOS; true;false;false;false;true;true;false;false;false;true;false;0;33083096;Municipal;5,7
1135;Rio de Janeiro;0918025 ESCOLA MUNICIPAL MIGUEL DE LARREINAGA; true;false;false;false;false;true;false;false;false;true;true;0;33083100;Municipal;6,4
1136;Rio de Janeiro;0918073 ESCOLA MUNICIPAL MINISTRO ADAUTO LUCIO CARDOSO; true;false;false;false;true;true;false;false;false;false;false;0;33083118;Municipal;5,4
1137;Rio de Janeiro;1026015 ESCOLA MUNICIPAL NESTOR VICTOR; true;false; true;false;true;true;false;true;false;false;false;0;33083150;Municipal;5,9
1138;Rio de Janeiro;1026009 ESCOLA MUNICIPAL PADRE JOSE MAURICIO;false;false;false;false;false;true;false;true;false;false;false;0;33083169;Municipal;5,3
1139;Rio de Janeiro;0918029 ESCOLA MUNICIPAL PRESIDENTE ARTHUR BERNARDES; true;false; true;false;true;true;false;false;false;true;false;0;33083185;Municipal;6,1
1140;Rio de Janeiro;0918502 ESCOLA MUNICIPAL PRESIDENTE NEREU RAMOS; true;false; true;false;true;true;false;true;false;false;false;0;33083193;Municipal;5,1
